team;matches_played;goals_for;goals_against
FC Barcelona;35;65;15
Real Madrid;34;70;32
Atl‚tico de Madrid;34;60;27
Real Sociedad;35;47;32
Villarreal CF;35;54;36
Real Betis;34;43;38
Athletic Club;35;46;39
Girona FC;35;55;50
CA Osasuna;34;32;36
Sevilla FC;34;44;49
Rayo Vallecano;34;41;45
RCD Mallorca;35;33;40
RC Celta;35;40;50
UD Almer¡a;35;46;61
C diz CF;35;28;50
Valencia CF;34;38;41
Getafe CF;35;31;44
Real Valladolid CF;35;30;62
RCD Espanyol;34;42;60
