team;matches_played;goals_for;goals_against
Napoli;35;70;25
Juventus;35;54;28
Inter;35;66;37
Lazio;35;54;28
Milan;36;60;42
Atalanta;36;59;43
Roma;35;45;33
Monza;36;46;46
Bologna;36;48;45
Fiorentina;35;47;40
Torino;35;37;39
Udinese;35;45;43
Sassuolo;36;44;56
Empoli;35;32;45
Salernitana;35;43;56
Lecce;36;30;43
Spezia;36;30;56
Hellas Verona;36;29;55
Cremonese;36;32;66
Sampdoria;36;22;67
