Team;matches_played;goals_for;goals_against
Man City;35;92;31
Arsenal;37;83;43
Newcastle;36;67;32
Man Utd;36;52;41
Liverpool;37;71;43
Brighton;35;67;49
Aston Villa;37;49;45
Spurs;37;66;62
Brentford;37;57;46
Fulham;37;54;51
Crystal Palace;37;39;48
Chelsea;35;36;41
Wolves;37;31;53
Bournemouth;37;37;70
West Ham;36;38;52
Nottingham Forest;37;37;67
Everton;37;33;57
Leeds Utd;36;46;71
Leicester;36;49;67
Southampton;36;31;66
